Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
"Bó Hoa Hồng Hồng","Bó hoa sáp Ecuador 15 bông giấy kiếng từ Paris Florist là món quà tinh tế, phù hợp cho nhiều dịp đặc biệt. Với sự kết hợp giữa hoa sáp và hoa nhũ kim tuyến, sản phẩm mang biểu tượng tình yêu vĩnh cửu bởi vẻ đẹp không tàn, không phai, đồng thời có giá thành dễ tiếp cận hơn hoa tươi. Hoa được làm thủ công tỉ mỉ, thể hiện tâm huyết của người thợ. Mỗi sản phẩm khi đến tay khách hàng đều được chăm chút để giữ nguyên vẻ xinh đẹp, trở thành món quà ý nghĩa và bền lâu cho người nhận.",Gradie,Hoa mừng,,TRUE,Hình dáng,Bó hoa,Kích thước ,30cm,Chất liệu,Hoa sáp,SP005-1,0,shopify,100,deny,manual,209000,229000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp005_1.jpg,1,Bó Hoa Hồng Hồng,FALSE,,,active
"Bó Hoa Bóng Bay Tốt Nghiệp","Hoa bong bóng là lựa chọn quà tặng độc đáo, phù hợp cho ngày tốt nghiệp, chụp ảnh kỷ yếu hay làm quà tặng người yêu. Sản phẩm được thiết kế từ những quả bóng cao cấp, có độ dai tốt, màu sắc chuẩn và đẹp mắt, tạo nên tổng thể vừa trẻ trung vừa sang trọng. Đây là món quà vừa mang tính trang trí, vừa giúp lưu giữ kỷ niệm đáng nhớ trong những dịp đặc biệt.",Gradie,Hoa mừng,,TRUE,Hình dáng,Bó hoa,Kích thước ,80cm,Chất liệu,Bong Bóng,SP006-1,0,shopify,100,deny,manual,359000,389000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp006_1.jpg,1,Bó Hoa Bóng Bay Tốt Nghiệp,FALSE,,,active
"Túi Kẹo Quà Tặng","Kẹo khổng lồ vừa ngon – xinh – giá yêu, là món quà cực kỳ phù hợp để tặng bé, bạn bè hay cả tập thể lớp trong những dịp đặc biệt. Sản phẩm gồm nhiều loại bánh kẹo, bim bim và snack mix được phối theo tông màu bắt mắt, tạo nên một tổng thể vừa vui nhộn vừa hấp dẫn. Khi mua, khách sẽ được tặng kèm túi đựng và thiệp, giúp món quà thêm phần trọn vẹn.
Hạn sử dụng sản phẩm từ 3 đến 6 tháng, đảm bảo an toàn và chất lượng cho người dùng. Đây chắc chắn là món quà ngọt ngào, độc đáo và đầy bất ngờ dành cho người nhận.",Gradie,Kẹo,,TRUE,Màu sắc,Hồng,Kích thước ,30cm,Chất liệu,Kẹo,SP007-1,0,shopify,100,deny,manual,49000,59000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp007_1.jpg,1,Túi Kẹo Quà Tặng,FALSE,,,active
"Túi Kẹo Lớn Hình Trái Tim","Bó kẹo mút hình trái tim siêu xinh là món quà “ngọt ngào” và độc đáo nhất mùa này. Với thiết kế trong suốt, gói cực kỳ dễ thương, sản phẩm được mix trên 10 loại bánh kẹo khác nhau, tạo nên sự đa dạng và hấp dẫn. Mỗi bó kẹo đều được trang trí bằng nơ ruy băng cùng họa tiết hoạt hình đáng yêu, mang lại cảm giác vừa vui nhộn vừa tinh tế.",Gradie,Kẹo,,TRUE,Màu sắc,Hồng,Kích thước ,90cm,Chất liệu,Kẹo,SP008-1,0,shopify,100,deny,manual,89000,99000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp008_1.jpg,1,Túi Kẹo Lớn Hình Trái Tim,FALSE,,,active
"Khung Ảnh Tốt Nghiệp Chibi","Khung ảnh ghép đồ tốt nghiệp chibi là món quà độc đáo và ý nghĩa dành cho ngày tốt nghiệp. Với thiết kế chibi dễ thương, sản phẩm mang đến lời chúc mừng tốt nghiệp một cách sinh động và vui nhộn, giúp lưu giữ khoảnh khắc quan trọng trong đời sinh viên. Khung ảnh được làm tỉ mỉ, phối hợp cùng các chi tiết lễ phục, mũ cử nhân và dòng chữ chúc mừng, tạo nên tổng thể vừa trang trọng vừa đáng yêu. ",Gradie,Khung ảnh,,TRUE,Hình dáng,Khung chữ nhật,Kích thước,10x15cm,Chất liệu,Nhựa,SP009-1,0,shopify,100,deny,manual,64000,74000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp009_1.jpg,1,Khung Ảnh Tốt Nghiệp Chibi,FALSE,,,active
"Khung Ảnh Tốt Nghiệp","Khung ảnh tốt nghiệp chibi được thiết kế theo yêu cầu, là món quà ý nghĩa dành tặng bạn bè trong ngày tốt nghiệp. Sản phẩm gồm khung ảnh, chân chống, móc treo tường, đèn LED và được tặng thêm 1 ảnh đi kèm. Khung làm từ nhựa giả gỗ composite nhẹ, bền, không cong vênh, chống mối mọt, mặt kính sáng bóng.",Gradie,Khung ảnh,,TRUE,Hình dáng,Khung chữ nhật,Kích thước,15x21cm,Chất liệu,Nhựa,SP029-1,0,shopify,100,deny,manual,139000,149000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp029_2.jpg,1,Khung Ảnh Tốt Nghiệp,FALSE,,,active
"Sổ lưu kỉ niệm Pieces of Memories","",Gradie,Sổ,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,19x19cm,Chất liệu,Giấy,SP010-1,0,shopify,100,deny,manual,146000,150000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp010-1.jpg,1,Sổ lưu kỉ niệm Pieces of Memories,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP010-2,0,shopify,100,deny,manual,146000,150000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP010-3,0,shopify,100,deny,manual,146000,150000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp010-2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp010-3.jpg,3,,,,,
"Sổ Lên Kế Hoạch","",Gradie,Sổ,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,19x19cm,Chất liệu,Giấy,SP011-1,0,shopify,100,deny,manual,139000,140000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp011-1.jpg,1,Sổ Lên Kế Hoạch,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP011-2,0,shopify,100,deny,manual,139000,140000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP011-3,0,shopify,100,deny,manual,139000,140000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp011-2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp011-3.jpg,3,,,,,
"Sổ tay dot grid","",Gradie,Sổ,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,19x19cm,Chất liệu,Giấy,SP012-1,0,shopify,100,deny,manual,79000,90000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp012-1.jpg,1,Sổ tay dot grid,FALSE,,,active
"Sổ Tay A5 Vintage","",Gradie,Sổ,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,19x25cm,Chất liệu,Giấy,SP013-1,0,shopify,100,deny,manual,60000,70000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp013-1.jpg,1,Sổ Tay A5 Vintage,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP013-2,0,shopify,100,deny,manual,60000,70000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP013-3,0,shopify,100,deny,manual,60000,70000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp013-2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp013-3.jpg,3,,,,,
"Sổ Tay Bìa Da Trang Trí","",Gradie,Sổ,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,18x23cm,Chất liệu,Giấy,SP014-1,0,shopify,100,deny,manual,79000,90000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp014-1.jpg,1,Sổ Tay Bìa Da Trang Trí,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP014-2,0,shopify,100,deny,manual,79000,90000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP014-3,0,shopify,100,deny,manual,79000,90000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp014-2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp014-3.jpg,3,,,,,
"Sổ ghi chú","",Gradie,Sổ,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,18x23cm,Chất liệu,Giấy,SP015-1,0,shopify,100,deny,manual,35000,50000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp015-1.jpg,1,Sổ ghi chú,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP015-2,0,shopify,100,deny,manual,35000,50000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dáng,,Kích thước,,Chất liệu,,SP015-3,0,shopify,100,deny,manual,35000,50000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp015-2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp015-3.jpg,3,,,,,
"Bình Đựng Nước 2L","",Gradie,Bình nước,,TRUE,Hình dạng,Hình trụ,Dung tích,2L,Chất liệu,Nhựa,SP016-1,0,shopify,100,deny,manual,48000,60000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp016-1.jpg,1,Bình Đựng Nước 2L,FALSE,,,active
"Bình Nước Thể Thao 2 Lít","",Gradie,Bình nước,,TRUE,Hình dạng,Hình trụ,Dung tích,2L,Chất liệu,Nhựa,SP017-1,0,shopify,100,deny,manual,48000,65000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp017-1.jpg,1,Bình Nước Thể Thao 2 Lít,FALSE,,,active
,,,,,TRUE,Hình dạng,,Dung tích,,Chất liệu,,SP017-2,0,shopify,100,deny,manual,48000,65000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dạng,,Dung tích,,Chất liệu,,SP017-3,0,shopify,100,deny,manual,48000,65000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,TRUE,Hình dạng,,Dung tích,,Chất liệu,,SP017-4,0,shopify,100,deny,manual,48000,65000,TRUE,TRUE,,,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp017-2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp017-3.jpg,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp017-4.jpg,4,,,,,
"Bình Giữ Nhiệt Đi Du Lịch 500ml","",Gradie,Bình nước,,TRUE,Hình dạng,Hình trụ,Dung tích,480ml,Chất liệu,Thép không gỉ 316 + nhựa PP,SP018-1,0,shopify,100,deny,manual,100000,120000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp018-1.jpg,1,Bình Giữ Nhiệt Đi Du Lịch 500ml,FALSE,,,active
"Bình Pha Cafe Cold Brew","",Gradie,Bình nước,,TRUE,Hình dạng,Hình trụ,Dung tích,2L,Chất liệu,Nhựa,SP019-1,0,shopify,100,deny,manual,120000,160000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp019-1.jpg,1,Bình Pha Cafe Cold Brew,FALSE,,,active
"Bình Pha Cà Phê Cold Brew 1400ml","",Gradie,Bình nước,,TRUE,Hình dạng,Hình trụ,Dung tích,1,4L,Chất liệu,Nhựa,SP020-1,0,shopify,100,deny,manual,239000,260000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp020-1.jpg,1,Bình Pha Cà Phê Cold Brew 1400ml,FALSE,,,active
"LY giữ nhiệt hoa lá cành","",Gradie,Bình nước,,TRUE,Hình dạng,Hình trụ,Dung tích,500ml,Chất liệu,Inox,SP021-1,0,shopify,100,deny,manual,99000,150000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp021-1.jpg,1,LY giữ nhiệt hoa lá cành,FALSE,,,active
"Túi Tote Nữ Da Cao Cấp","",Gradie,Túi,,TRUE,Hình dáng,Hình chữ nhật,Kích thước ,32* 12*26,Chất liệu,Da pu,SP022-1,0,shopify,100,deny,manual,70000,90000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp022-1.jpg,1,Túi Tote Nữ Da Cao Cấp,FALSE,,,active
"Túi đeo vai nữ kiểu dáng mới","",Gradie,Túi,,TRUE,Hình dáng,Hình chữ nhật,Kích thước ,32* 12*26,Chất liệu,Da pu,SP023-1,0,shopify,100,deny,manual,67000,85000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp023-1.jpg,1,Túi đeo vai nữ kiểu dáng mới,FALSE,,,active
"Túi Tote Balo nữ da PU","",Gradie,Túi,,TRUE,Hình dáng,Hình chữ nhật,Kích thước ,15* 12*26,Chất liệu,Da pu,SP024-1,0,shopify,100,deny,manual,70000,95000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp024-1.jpg,1,Túi Tote Balo nữ da PU,FALSE,,,active
"Túi xách Tote nữ họa tiết gấu","",Gradie,Túi,,TRUE,Hình dáng,Hình chữ nhật,Kích thước ,15* 12*26,Chất liệu,Da pu,SP025-1,0,shopify,100,deny,manual,70000,100000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp025-1.jpg,1,Túi xách Tote nữ họa tiết gấu,FALSE,,,active
"Túi tote nữ vải canvas","",Gradie,Túi,,TRUE,Hình dáng,Hình chữ nhật,Kích thước ,15* 12*26,Chất liệu,Canvas,SP026-1,0,shopify,100,deny,manual,65000,85000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp026-1.jpg,1,Túi tote nữ vải canvas,FALSE,,,active
"Túi tote túi công sở","",Gradie,Túi,,TRUE,Hình dáng,Hình chữ nhật,Kích thước ,20*20*25,Chất liệu,Da pu,SP027-1,0,shopify,100,deny,manual,85000,105000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp027-1.jpg,1,Túi tote túi công sở,FALSE,,,active
"Huy Chương Tốt Nghiệp","Huy chương chúc mừng tốt nghiệp là món quà độc đáo, mang ý nghĩa ghi dấu hành trình học tập và thành công của bạn bè, người thân. Với thiết kế trang trọng, nổi bật cùng dòng chữ chúc mừng, sản phẩm vừa là kỷ niệm đáng nhớ vừa là lời động viên tinh thần.",Gradie,Huy Chương,,TRUE,Màu sắc,Xanh đen,Hình dạng,Hình tròn,Chất liệu,Đồng,SP030-1,0,shopify,100,deny,manual,69000,79000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp030_1.jpg,1,Huy Chương Tốt Nghiệp,FALSE,,,active
"Hộp Tuyết Thủy Tinh","Mỗi bộ sản phẩm bao gồm: trụ đáy gỗ & dây đèn LED, hoa và lá đính kèm, hạt pha lê trong trang trí, pin, nắp chụp thủy tinh, keo nến và gấu tốt nghiệp. Thiết kế tinh tế, ánh sáng dịu nhẹ cùng chi tiết trang trí độc đáo giúp chiếc đèn trở thành món quà vừa đẹp mắt vừa mang giá trị kỷ niệm.",Gradie,Đèn Ngủ,,TRUE,Màu sắc,Vàng,Hình dạng,Hướng dương, nam,Chất liệu,Nhựa,SP031-1,0,shopify,100,deny,manual,159000,165000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp031_1.jpg,1,Hộp Tuyết Thủy Tinh,FALSE,,,active
"Hộp Thủy Tinh Vuông","Đèn ngủ hoa tulip 2-in-1 vừa là chiếc đèn ngủ ấm áp, vừa kiêm gương soi tiện lợi, mang lại trải nghiệm đa năng cho người dùng. Khi bật sáng, hiệu ứng thị giác lung linh tạo cảm giác không gian vô cực với những bông hoa rực rỡ, giúp căn phòng thêm phần lãng mạn và thư giãn. Sản phẩm mang tính DIY độc đáo, cho phép bạn tự tay lắp ráp để tạo nên “vườn hoa” riêng, tăng sự cá nhân hóa và ý nghĩa.",Gradie,Đèn Ngủ,,TRUE,Màu sắc,Hồng,Hình dạng,Vuông,Chất liệu,Nhựa,SP032-1,0,shopify,100,deny,manual,49000,59000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp032_1.jpg,1,Hộp Thủy Tinh Vuông,FALSE,,,active
"Đèn LED Thú Dễ Thương","Đèn ngủ mini được thiết kế nhỏ gọn, tiện lợi với thông số kỹ thuật hiện đại: điện áp định mức 5V / 0,3A, công suất 1W, dung lượng pin 1200mAh cho thời gian sử dụng dài. Ở mức sáng cao nhất, đèn có thể hoạt động 6–7 giờ, còn mức sáng thấp nhất kéo dài tới 12 giờ. Thời gian sạc nhanh chỉ 2–3 giờ, giúp bạn dễ dàng sử dụng liên tục.",Gradie,Đèn Ngủ,,TRUE,Hình dạng,Thỏ,Màu sắc,Trằng, vàng,Chất liệu,Silicon,SP033-1,0,shopify,100,deny,manual,109000,119000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp033_1.jpg,1,Đèn LED Thú Dễ Thương,FALSE,,,active
"Mũ Cử Nhân Trang Trí Hoa Lụa","Chiếc mũ cử nhân được trang trí tỉ mỉ và cẩn thận, thiết kế riêng dành cho bạn, giúp ngày tốt nghiệp thêm phần đặc biệt. Đây không chỉ là phụ kiện ý nghĩa mà còn là điểm nhấn để lưu lại những bức hình ấn tượng, ghi dấu kỷ niệm khó quên trong hành trình học tập. Món quà tinh tế này sẽ mang đến sự tự hào và niềm vui trọn vẹn cho người nhận.",Gradie,Đồ tốt nghiệp,,TRUE,Hình dạng,Bướm,Màu sắc,Xanh,Chất liệu,Giấy, Hoa lụa, Ngọc trai,SP034-1,0,shopify,100,deny,manual,189000,199000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp034_1.jpg,1,Mũ Cử Nhân Trang Trí Hoa Lụa,FALSE,,,active
"Đồ tốt nghiệp","Bộ lễ phục cử nhân quốc tế màu đen trang trọng, phù hợp cho lễ tốt nghiệp đại học, thạc sĩ hay giảng viên. Sản phẩm gồm áo cử nhân và mũ tốt nghiệp, mang thiết kế chuẩn mực, giúp lưu giữ khoảnh khắc quan trọng trong hành trình học tập. Với chất liệu bền đẹp và kiểu dáng truyền thống, bộ lễ phục không chỉ thể hiện sự tự hào mà còn tạo nên hình ảnh chuyên nghiệp, trang nghiêm trong ngày trọng đại.",Gradie,Đồ tốt nghiệp,,TRUE,Hình dạng,Bộ áo mũ,Màu sắc,Xanh, trắng,Chất liệu,Cotton,SP035-1,0,shopify,100,deny,manual,339000,349000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp035_1.jpg,1,Đồ tốt nghiệp,FALSE,,,active
"Sash Tốt Nghiệp","Sash đeo chéo tốt nghiệp là phụ kiện trang trọng, giúp tôn vinh khoảnh khắc quan trọng trong ngày lễ ra trường. Với thiết kế tinh tế, màu sắc nổi bật, sash mang lại vẻ tự tin và phong cách cho người mặc, đồng thời tạo điểm nhấn trong những bức ảnh kỷ yếu. ",Gradie,Đồ tốt nghiệp,,TRUE,Hình dạng,Sash tên,Màu sắc,Trắng,Kích thước,170x120cm,SP036-1,0,shopify,100,deny,manual,149000,159000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp036_1.jpg,1,Sash Tốt Nghiệp,FALSE,,,active
"Gấu Bông Penguin Tốt Nghiệp","Gấu bông tốt nghiệp đáng yêu là món quà ý nghĩa, phù hợp để tặng bé, bạn bè hoặc người yêu trong ngày trọng đại. Với thiết kế dễ thương cùng trang phục cử nhân, sản phẩm không chỉ mang lại niềm vui mà còn giúp lưu giữ kỷ niệm tốt nghiệp một cách đặc biệt và đáng nhớ.",Gradie,Gấu Bông,,TRUE,Hình dạng,Cánh cụt,Chất liệu, Chất nhung, lông xù,Kích thước, 24-25cm,SP037-1,0,shopify,100,deny,manual,129000,139000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp037-1.webp,1,Gấu Bông Penguin Tốt Nghiệp,FALSE,,,active
"Mũ Tốt Nghiệp Hộp Kẹo","Thiệp chúc mừng tốt nghiệp độc đáo với thiết kế hình mũ cử nhân, vừa mang không khí lễ tốt nghiệp vừa tạo sự thú vị khi kết hợp cùng hộp đựng kẹo bên trong. Trông giống như một chiếc mũ tốt nghiệp chứa đầy kẹo ngọt ngào, sản phẩm mang lại sự bất ngờ và vui nhộn cho người nhận.",Gradie,Kẹo,,TRUE,Hình dạng,Mũ tốt nghiệp,Chất liệu,thi và bìa cứng,Kích thước, 24-25cm,SP038-1,0,shopify,100,deny,manual,149000,169000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp038-1.jpg,1,Mũ Tốt Nghiệp Hộp Kẹo,FALSE,,,active
